亡国の王子 マルス
夢の中の友達 ピアニー
眠れる者の世界へ シャロン
悪夢の国の妖精 スカビオサ
淫夢の妖精 プルメリア
炎の紋章を継ぐ者 マルス
アリティアの癒しの僧 リフ
若き騎士志願者 クリス（女）
旅立ちの刻 アルム
女神に仕えるシスター シルク
バルドの血を引く公子 シグルド
ロプトの血を引く聖女 ディアドラ
海賊の女頭目 ブリギッド
レンスター再興を夢見て リーフ
ダンディライオンの首領 パーン
アルスターの王女 ミランダ
才気溢れる公子 ロイ
盟主となる公女 リリーナ
友情を信じる公子 エリウッド
宿命の舞い手 ニニアン
ルネスの妹王女 エイリーク
炎槍の勇王 エフラム
宮廷魔道士の生き残り ノール
無敵の剣技を継ぐ青年 アイク
傭兵団の才士 セネリオ
修行中の女剣士 ワユ
暁の団の乙女 ミカヤ
秘めたる炎 キサ
堕ちた光 エルラン
聖なる血裔の王子 クロム
絶望の未来からきた王女 ルキナ
聖王の戦術師 ルフレ（女）
自警団のプリンセス リズ
イーリスの騎士 フレデリク
ヴィオール公爵家の竜騎士 セルジュ
白夜と暗夜の王子 カムイ（男）
透魔の歌姫 アクア
闇を斬り裂く白姉 ヒノカ
南国満喫王子 タクミ
湯けむりの秘密 カミラ
光なき王国の末弟 レオン
開かれし国の王子 アルフォンス
白夢の妖精 ルピナス
大修道院の教師 ベレト
気高き黒鷲の級長 エーデルガルト
凛々しき青獅子の級長 ディミトリ
抜け目なき金鹿の級長 クロード...
護国の老騎士 ギルベルト
大人気アイドル子役 源 まもり
ミラクルウタロイド チキ
